Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",0805,2,10uF,C380331
"C2, C4",0805,2,0.1uF,C2847428
J1,Fujitora_pads_morro,1,Conn_01x08_Pin,
"MUX1, MUX2, MUX3",MUX_CD4051B,3,CD4051B,C3007951
"R1, R10, R13, R16, R19, R22, R25, R28, R31, R34, R4, R7",0402,12,45,C3017827
"R11, R12, R14, R15, R17, R18, R2, R20, R21, R23, R24, R26, R27, R29, R3, R30, R32, R33, R35, R36, R5, R6, R8, R9",0402,24,10k,C17414
"S1, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S2, S20, S21, S22, S23, S24, S3, S4, S5, S6, S7, S8, S9",FujitoraBot2_QRE1113,24,~,C81632
